processor_millis,SDS011_pm25, SDS011_pm10,BME680_temperature, BME680_pressure, BME680_humidity, BME680_gasResistance,CCS811_C02, CCS811_TVOC,GPS_year, GPS_month, GPS_day, GPS_hour, GPS_minute, GPS_seconds, GPS_longitude, GPS_latitude, GPS_noSaltilites, GPS_fix,CozIr_Co2, CozIr_Co2_filtered,SN1_WE_u, SN1_AE_u, SN2_WE_u, SN2_AE_u, NO2, O3, PT1000 temp,Errors
Starting!
56000,0.90, 5.10,23.50, 10201.70, 27.39, 0.00,400, 0,22,4,27,7,59,0,0,0,0,0,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45, CozIR
58000,0.90, 5.40,23.47, 10201.50, 27.39, 0.00,400, 0,22,4,27,7,59,2,0,0,0,0,00821, 00807,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2096.64,
60000,0.90, 5.50,23.41, 10201.30, 27.40, 0.00,400, 0,22,4,27,7,59,4,0,0,0,0,00824, 00807,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
62000,0.90, 7.40,23.36, 10201.70, 27.46, 0.00,400, 0,22,4,27,7,59,6,0,0,0,0,00823, 00837,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2098.25,
64000,0.80, 7.30,23.32, 10201.70, 27.50, 0.00,400, 0,22,4,27,7,59,8,0,0,0,0,00824, 00796,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2095.83,
66000,0.80, 7.30,23.29, 10201.70, 27.55, 0.00,400, 0,22,4,27,7,59,10,0,0,0,0,00826, 00847,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2096.64,
68000,0.80, 7.20,23.26, 10201.70, 27.59, 0.00,405, 0,22,4,27,7,59,12,0,0,0,0,00826, 00839,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2098.25,
70000,0.70, 6.80,23.24, 10201.50, 27.63, 0.00,400, 0,22,4,27,7,59,14,0,0,0,0,00821, 00811,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
72000,0.70, 6.80,23.23, 10201.30, 27.65, 0.00,400, 0,22,4,27,7,59,16,0,0,0,0,00821, 00829,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2095.83,
74000,0.70, 7.10,23.22, 10201.50, 27.68, 0.00,400, 0,22,4,27,7,59,18,0,0,0,0,00819, 00823,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2098.25,
76000,0.70, 7.00,23.21, 10201.50, 27.69, 0.00,400, 0,22,4,27,7,59,20,0,0,0,0,00812, 00793,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2095.83,
78000,0.70, 6.90,23.21, 10201.50, 27.71, 0.00,400, 0,22,4,27,7,59,22,0,0,0,0,00812, 00803,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
80000,0.60, 6.90,23.21, 10201.50, 27.72, 0.00,400, 0,22,4,27,7,59,24,0,0,0,0,00814, 00805,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2099.06,
82000,0.60, 6.90,23.21, 10201.50, 27.73, 0.00,400, 0,22,4,27,7,59,26,0,0,0,0,00817, 00776,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2095.03,
84000,0.60, 6.00,23.20, 10201.50, 27.72, 0.00,400, 0,22,4,27,7,59,28,0,0,0,0,00823, 00866,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2098.25,
86000,0.60, 6.00,23.21, 10201.50, 27.72, 0.00,405, 0,22,4,27,7,59,30,0,0,0,0,00836, 00949,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
88000,0.60, 6.20,23.21, 10201.50, 27.71, 0.00,409, 1,22,4,27,7,59,32,0,0,0,0,00831, 00774,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
90000,0.60, 6.30,23.21, 10201.50, 27.73, 0.00,413, 1,22,4,27,7,59,34,0,0,0,0,00833, 00865,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
92000,0.60, 4.50,23.21, 10201.50, 27.74, 0.00,413, 1,22,4,27,7,59,36,0,0,0,0,00856, 00904,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
94000,0.60, 4.30,23.21, 10201.50, 27.75, 0.00,413, 1,22,4,27,7,59,38,0,0,0,0,00858, 00877,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2096.64,
96000,0.60, 4.40,23.21, 10201.50, 27.75, 0.00,415, 2,22,4,27,7,59,40,0,0,0,0,00859, 00858,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2098.25,
98000,0.70, 4.50,23.22, 10201.30, 27.77, 0.00,415, 2,22,4,27,7,59,42,0,0,0,0,00862, 00850,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
100000,0.70, 5.00,23.22, 10201.50, 27.77, 0.00,415, 2,22,4,27,7,59,44,0,0,0,0,00864, 00865,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
102000,0.70, 5.00,23.22, 10201.50, 27.76, 0.00,415, 2,22,4,27,7,59,46,0,0,0,0,00862, 00858,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2096.64,
104000,0.70, 4.80,23.23, 10201.30, 27.76, 0.00,415, 2,22,4,27,7,59,48,0,0,0,0,00856, 00799,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
106000,0.70, 5.10,23.23, 10201.50, 27.76, 0.00,415, 2,22,4,27,7,59,50,0,0,0,0,00857, 00850,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
108000,0.90, 5.60,23.23, 10201.30, 27.74, 0.00,415, 2,22,4,27,7,59,52,0,0,0,0,00864, 00847,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2095.83,
110000,0.90, 5.70,23.24, 10201.30, 27.74, 0.00,413, 1,22,4,27,7,59,54,0,0,0,0,00864, 00841,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2099.06,
112000,0.90, 5.70,23.24, 10201.50, 27.72, 0.00,415, 2,22,4,27,7,59,56,0,0,0,0,00872, 00888,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2095.03,
114000,0.80, 5.60,23.25, 10201.50, 27.71, 0.00,413, 1,22,4,27,7,59,58,0,0,0,0,00860, 00866,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2098.25,
116000,0.80, 5.10,23.25, 10201.50, 27.69, 0.00,413, 1,22,4,27,8,0,0,0,0,0,0,00865, 00839,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2098.25,
118000,0.80, 5.10,23.25, 10201.50, 27.69, 0.00,409, 1,22,4,27,8,0,2,0,0,0,0,00860, 00830,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2095.83,
120000,0.80, 4.90,23.26, 10202.10, 27.67, 0.00,409, 1,22,4,27,8,0,4,0,0,0,0,00863, 00858,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2099.86,
122000,0.80, 4.80,23.26, 10201.90, 27.64, 0.00,409, 1,22,4,27,8,0,6,0,0,0,0,00864, 00838,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2099.06,
124000,0.80, 4.70,23.26, 10201.90, 27.62, 0.00,409, 1,22,4,27,8,0,8,0,0,0,0,00854, 00813,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2100.67,
126000,0.80, 4.90,23.27, 10201.90, 27.61, 0.00,405, 0,22,4,27,8,0,10,0,0,0,0,00848, 00846,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2096.64,
128000,0.80, 5.40,23.27, 10201.70, 27.58, 0.00,405, 0,22,4,27,8,0,12,0,0,0,0,00854, 00893,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2097.45,
130000,0.80, 5.00,23.27, 10201.50, 27.56, 0.00,400, 0,22,4,27,8,0,14,0,0,0,0,00857, 00813,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-2098.25,
