processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;
Starting!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2987; 0.50; 1.50; 21.32; 10225.50; 13.28; 1188.16;400;0;22;3;4;14;44;31;0;0;0;0;463;460; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.88; ERRORS : 
4987; 0.50; 1.60; 21.32; 10225.50; 13.26; 1190.27;400;0;22;3;4;14;44;34;0;0;0;0;456;461; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
6987; 0.50; 1.70; 21.33; 10225.40; 13.27; 1191.32;403;0;22;3;4;14;44;35;0;0;0;0;455;476; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
8987; 0.50; 1.40; 21.33; 10225.40; 13.27; 1195.56;400;0;22;3;4;14;44;38;0;0;0;0;458;459; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
10987; 0.50; 1.40; 21.33; 10225.40; 13.27; 1192.38;400;0;22;3;4;14;44;39;0;0;0;0;469;505; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
12987; 0.50; 1.40; 21.33; 10225.20; 13.27; 1186.07;400;0;22;3;4;14;44;42;0;0;0;0;471;477; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
14987; 0.50; 1.40; 21.34; 10225.20; 13.25; 1187.11;400;0;22;3;4;14;44;43;0;0;0;0;470;471; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
16987; 0.50; 1.40; 21.34; 10225.40; 13.24; 1189.21;403;0;22;3;4;14;44;46;0;0;0;0;477;498; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
18987; 0.50; 1.50; 21.34; 10225.40; 13.24; 1197.68;400;0;22;3;4;14;44;47;0;0;0;0;477;480; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
20987; 0.60; 1.60; 21.35; 10225.20; 13.24; 1191.32;400;0;22;3;4;14;44;50;0;0;0;0;477;498; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
22987; 0.60; 1.50; 21.35; 10225.20; 13.23; 1189.21;403;0;22;3;4;14;44;51;0;0;0;0;473;484; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
24987; 0.60; 1.30; 21.35; 10225.00; 13.23; 1192.38;400;0;22;3;4;14;44;54;0;0;0;0;474;498; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -309.24; ERRORS : 
26987; 0.60; 1.40; 21.36; 10225.20; 13.23; 1192.38;400;0;22;3;4;14;44;55;0;0;0;0;469;459; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
28987; 0.70; 1.40; 21.36; 10225.20; 13.23; 1196.62;400;0;22;3;4;14;44;58;0;0;0;0;458;434; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
30987; 0.70; 1.40; 21.36; 10225.20; 13.23; 1199.82;400;0;22;3;4;14;44;59;0;0;0;0;455;418; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -308.43; ERRORS : 
32987; 0.60; 1.40; 21.37; 10225.00; 13.22; 1190.27;400;0;22;3;4;14;45;2;0;0;0;0;455;456; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
34987; 0.60; 1.50; 21.37; 10225.00; 13.20; 1197.68;400;0;22;3;4;14;45;3;0;0;0;0;455;450; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
36987; 0.60; 1.40; 21.37; 10224.80; 13.20; 1197.68;400;0;22;3;4;14;45;6;0;0;0;0;456;444; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
38987; 0.60; 1.30; 21.38; 10225.00; 13.20; 1192.38;403;0;22;3;4;14;45;7;0;0;0;0;459;454; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
40987; 0.60; 1.30; 21.38; 10225.00; 13.19; 1190.27;403;0;22;3;4;14;45;10;0;0;0;0;456;450; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -309.24; ERRORS : 
42987; 0.60; 1.20; 21.38; 10225.00; 13.18; 1195.56;403;0;22;3;4;14;45;11;0;0;0;0;449;415; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
44987; 0.60; 1.20; 21.39; 10225.00; 13.18; 1193.43;403;0;22;3;4;14;45;14;0;0;0;0;454;503; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -308.43; ERRORS : 
46987; 0.60; 1.20; 21.39; 10225.20; 13.18; 1199.82;400;0;22;3;4;14;45;15;0;0;0;0;459;486; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
48987; 0.60; 1.20; 21.39; 10225.20; 13.16; 1196.62;400;0;22;3;4;14;45;18;0;0;0;0;455;429; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
50987; 0.60; 1.20; 21.39; 10225.40; 13.16; 1201.97;400;0;22;3;4;14;45;19;0;0;0;0;458;484; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -309.24; ERRORS : 
52987; 0.60; 1.10; 21.40; 10225.50; 13.14; 1197.68;400;0;22;3;4;14;45;22;0;0;0;0;460;480; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
54987; 0.60; 1.00; 21.40; 10225.50; 13.15; 1200.89;400;0;22;3;4;14;45;23;0;0;0;0;461;476; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -307.63; ERRORS : 
56987; 0.50; 1.00; 21.40; 10225.40; 13.13; 1200.89;400;0;22;3;4;14;45;26;0;0;0;0;461;468; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -309.24; ERRORS : 
58987; 0.50; 1.00; 21.40; 10225.20; 13.13; 1196.62;403;0;22;3;4;14;45;27;0;0;0;0;467;497; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.08; ERRORS : 
60987; 0.50; 0.90; 21.41; 10225.00; 13.12; 1195.56;403;0;22;3;4;14;45;30;0;0;0;0;463;464; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
62987; 0.50; 1.00; 21.41; 10225.00; 13.11; 1197.68;400;0;22;3;4;14;45;31;0;0;0;0;456;414; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
64987; 0.50; 0.90; 21.41; 10224.80; 13.11; 1198.75;400;0;22;3;4;14;45;34;0;0;0;0;458;482; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
66987; 0.50; 0.80; 21.42; 10225.00; 13.10; 1204.12;403;0;22;3;4;14;45;35;0;0;0;0;459;471; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
68987; 0.50; 0.70; 21.42; 10225.00; 13.10; 1207.36;400;0;22;3;4;14;45;38;0;0;0;0;459;478; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
70987; 0.50; 0.70; 21.42; 10224.80; 13.08; 1201.97;400;0;22;3;4;14;45;39;0;0;0;0;467;482; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
72987; 0.50; 0.70; 21.42; 10224.80; 13.09; 1200.89;400;0;22;3;4;14;45;42;0;0;0;0;463;419; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
74987; 0.50; 0.70; 21.43; 10224.80; 13.07; 1197.68;400;0;22;3;4;14;45;43;0;0;0;0;459;488; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -308.43; ERRORS : 
76987; 0.50; 0.70; 21.43; 10224.60; 13.07; 1200.89;400;0;22;3;4;14;45;46;0;0;0;0;465;488; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
78987; 0.50; 0.60; 21.43; 10224.80; 13.06; 1195.56;400;0;22;3;4;14;45;47;0;0;0;0;464;459; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
80987; 0.50; 0.60; 21.44; 10224.60; 13.06; 1203.04;400;0;22;3;4;14;45;50;0;0;0;0;471;510; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
82987; 0.50; 0.70; 21.44; 10224.60; 13.05; 1201.97;400;0;22;3;4;14;45;51;0;0;0;0;469;477; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -308.43; ERRORS : 
84987; 0.50; 0.70; 21.44; 10224.60; 13.04; 1205.20;400;0;22;3;4;14;45;54;0;0;0;0;465;413; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
86987; 0.50; 0.70; 21.45; 10224.60; 13.04; 1201.97;406;0;22;3;4;14;45;55;0;0;0;0;463;415; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
88987; 0.50; 0.60; 21.45; 10224.40; 13.02; 1199.82;406;0;22;3;4;14;45;58;0;0;0;0;464;491; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
90987; 0.50; 0.60; 21.45; 10224.40; 13.02; 1200.89;406;0;22;3;4;14;45;59;0;0;0;0;468;497; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
92987; 0.50; 0.60; 21.46; 10225.00; 13.01; 1197.68;406;0;22;3;4;14;46;2;0;0;0;0;469;477; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
94987; 0.40; 0.60; 21.46; 10225.00; 13.01; 1201.97;406;0;22;3;4;14;46;3;0;0;0;0;468;445; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
96987; 0.40; 0.70; 21.46; 10225.00; 13.00; 1203.04;406;0;22;3;4;14;46;6;0;0;0;0;463;434; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
98987; 0.40; 0.70; 21.47; 10225.20; 12.99; 1206.28;406;0;22;3;4;14;46;7;0;0;0;0;463;514; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
100987; 0.40; 0.70; 21.47; 10225.40; 13.00; 1198.75;406;0;22;3;4;14;46;10;0;0;0;0;460;490; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
102987; 0.40; 0.70; 21.47; 10225.20; 12.99; 1206.28;400;0;22;3;4;14;46;11;0;0;0;0;463;471; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
104987; 0.40; 0.80; 21.48; 10225.00; 12.99; 1201.97;400;0;22;3;4;14;46;14;0;0;0;0;460;482; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
106987; 0.40; 0.80; 21.48; 10224.80; 12.98; 1203.04;400;0;22;3;4;14;46;15;0;0;0;0;458;469; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
108987; 0.40; 0.80; 21.49; 10224.80; 12.97; 1212.80;400;0;22;3;4;14;46;18;0;0;0;0;467;532; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
110987; 0.40; 0.80; 21.49; 10224.80; 12.95; 1210.62;400;0;22;3;4;14;46;19;0;0;0;0;477;539; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
112987; 0.40; 0.70; 21.49; 10225.00; 12.94; 1207.36;400;0;22;3;4;14;46;22;0;0;0;0;477;443; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
114987; 0.40; 0.70; 21.50; 10224.80; 12.96; 1214.99;400;0;22;3;4;14;46;23;0;0;0;0;478;481; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
116987; 0.40; 0.70; 21.50; 10224.80; 12.93; 1210.62;406;0;22;3;4;14;46;26;0;0;0;0;481;490; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
118987; 0.40; 0.70; 21.51; 10224.60; 12.93; 1209.53;406;0;22;3;4;14;46;27;0;0;0;0;477;463; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
120987; 0.40; 0.70; 21.51; 10224.60; 12.93; 1208.45;406;0;22;3;4;14;46;30;0;0;0;0;476;456; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.88; ERRORS : 
122987; 0.40; 0.70; 21.51; 10224.40; 12.93; 1211.71;406;0;22;3;4;14;46;31;0;0;0;0;471;450; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
124987; 0.40; 0.70; 21.52; 10224.60; 12.92; 1211.71;406;0;22;3;4;14;46;34;0;0;0;0;471;451; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -308.43; ERRORS : 
126987; 0.40; 0.60; 21.52; 10224.60; 12.91; 1207.36;406;0;22;3;4;14;46;35;0;0;0;0;468;435; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
128987; 0.40; 0.70; 21.52; 10224.60; 12.89; 1208.45;406;0;22;3;4;14;46;38;0;0;0;0;463;442; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -307.63; ERRORS : 
130987; 0.50; 0.80; 21.52; 10224.60; 12.90; 1213.90;406;0;22;3;4;14;46;39;0;0;0;0;464;477; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
132987; 0.40; 1.00; 21.53; 10224.60; 12.89; 1209.53;406;0;22;3;4;14;46;42;0;0;0;0;471;511; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
134987; 0.50; 0.90; 21.53; 10224.80; 12.89; 1210.62;406;0;22;3;4;14;46;43;0;0;0;0;463;438; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -309.24; ERRORS : 
136987; 0.50; 0.90; 21.53; 10224.60; 12.88; 1219.40;400;0;22;3;4;14;46;46;0;0;0;0;459;489; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
138987; 0.50; 1.00; 21.54; 10224.60; 12.88; 1209.53;406;0;22;3;4;14;46;47;0;0;0;0;458;433; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
140987; 0.50; 1.10; 21.54; 10224.60; 12.88; 1207.36;406;0;22;3;4;14;46;50;0;0;0;0;465;500; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
142987; 0.50; 1.10; 21.54; 10224.60; 12.88; 1218.30;400;0;22;3;4;14;46;51;0;0;0;0;463;465; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
144987; 0.50; 1.30; 21.54; 10224.60; 12.85; 1214.99;400;0;22;3;4;14;46;54;0;0;0;0;456;427; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
146987; 0.50; 1.30; 21.55; 10224.60; 12.86; 1212.80;406;0;22;3;4;14;46;55;0;0;0;0;454;417; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
148987; 0.50; 1.20; 21.55; 10224.80; 12.85; 1209.53;400;0;22;3;4;14;46;58;0;0;0;0;456;494; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
150987; 0.50; 1.20; 21.55; 10224.80; 12.85; 1210.62;400;0;22;3;4;14;46;59;0;0;0;0;463;470; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
152987; 0.50; 1.50; 21.56; 10224.60; 12.84; 1217.19;400;0;22;3;4;14;47;2;0;0;0;0;471;511; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
154987; 0.50; 1.50; 21.56; 10224.60; 12.83; 1210.62;400;0;22;3;4;14;47;3;0;0;0;0;473;497; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
156987; 0.50; 1.60; 21.56; 10224.80; 12.83; 1219.40;400;0;22;3;4;14;47;6;0;0;0;0;470;440; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
158987; 0.50; 1.50; 21.57; 10224.80; 12.82; 1213.90;400;0;22;3;4;14;47;7;0;0;0;0;464;447; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
160987; 0.50; 1.50; 21.57; 10224.80; 12.82; 1211.71;400;0;22;3;4;14;47;10;0;0;0;0;461;476; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
162987; 0.50; 1.30; 21.57; 10225.00; 12.81; 1213.90;400;0;22;3;4;14;47;11;0;0;0;0;465;488; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
164987; 0.40; 1.30; 21.57; 10225.00; 12.80; 1214.99;403;0;22;3;4;14;47;14;0;0;0;0;465;445; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
166987; 0.40; 1.30; 21.58; 10225.00; 12.80; 1222.73;400;0;22;3;4;14;47;15;0;0;0;0;463;455; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
168987; 0.40; 1.20; 21.58; 10224.80; 12.80; 1214.99;403;0;22;3;4;14;47;18;0;0;0;0;463;488; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
170987; 0.40; 1.50; 21.58; 10224.80; 12.79; 1220.51;403;0;22;3;4;14;47;19;0;0;0;0;465;444; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
172987; 0.40; 1.50; 21.59; 10225.00; 12.78; 1222.73;403;0;22;3;4;14;47;22;0;0;0;0;468;468; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
174987; 0.40; 1.30; 21.59; 10225.00; 12.78; 1213.90;400;0;22;3;4;14;47;23;0;0;0;0;472;493; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
176987; 0.40; 1.30; 21.59; 10225.00; 12.78; 1213.90;403;0;22;3;4;14;47;26;0;0;0;0;469;458; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
178987; 0.40; 1.30; 21.60; 10224.80; 12.77; 1226.07;400;0;22;3;4;14;47;27;0;0;0;0;468;468; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
180987; 0.50; 1.40; 21.60; 10224.80; 12.76; 1214.99;403;0;22;3;4;14;47;30;0;0;0;0;459;388; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
182987; 0.50; 1.20; 21.60; 10224.60; 12.76; 1216.09;400;0;22;3;4;14;47;31;0;0;0;0;460;456; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
184987; 0.50; 1.10; 21.61; 10224.60; 12.75; 1219.40;400;0;22;3;4;14;47;34;0;0;0;0;463;478; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
186987; 0.40; 1.10; 21.61; 10225.00; 12.75; 1218.30;403;0;22;3;4;14;47;35;0;0;0;0;463;435; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.08; ERRORS : 
188987; 0.50; 1.20; 21.61; 10225.00; 12.75; 1221.62;400;0;22;3;4;14;47;38;0;0;0;0;464;467; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
190987; 0.50; 1.10; 21.62; 10225.00; 12.74; 1222.73;403;0;22;3;4;14;47;39;0;0;0;0;463;413; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -307.63; ERRORS : 
192987; 0.50; 1.10; 21.62; 10224.80; 12.72; 1223.84;400;0;22;3;4;14;47;42;0;0;0;0;467;497; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -309.24; ERRORS : 
194987; 0.50; 1.10; 21.62; 10224.80; 12.73; 1217.19;403;0;22;3;4;14;47;43;0;0;0;0;460;449; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
196987; 0.50; 1.30; 21.63; 10224.80; 12.73; 1221.62;403;0;22;3;4;14;47;46;0;0;0;0;469;511; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
198987; 0.60; 1.40; 21.63; 10224.80; 12.72; 1221.62;400;0;22;3;4;14;47;47;0;0;0;0;464;436; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
200987; 0.60; 1.00; 21.63; 10224.80; 12.72; 1222.73;400;0;22;3;4;14;47;50;0;0;0;0;468;451; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
202987; 0.60; 1.00; 21.63; 10224.80; 12.71; 1229.43;403;0;22;3;4;14;47;51;0;0;0;0;461;411; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
204987; 0.60; 1.20; 21.64; 10225.00; 12.71; 1224.95;403;0;22;3;4;14;47;54;0;0;0;0;463;464; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.08; ERRORS : 
206987; 0.60; 1.10; 21.64; 10224.80; 12.69; 1227.19;403;0;22;3;4;14;47;55;0;0;0;0;463;456; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -307.63; ERRORS : 
208987; 0.60; 1.20; 21.64; 10224.80; 12.69; 1231.68;400;0;22;3;4;14;47;58;0;0;0;0;471;499; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
210987; 0.60; 1.10; 21.65; 10224.40; 12.70; 1229.43;403;0;22;3;4;14;47;59;0;0;0;0;471;446; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
212987; 0.50; 1.00; 21.65; 10224.80; 12.69; 1220.51;403;0;22;3;4;14;48;2;0;0;0;0;474;526; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
214987; 0.60; 1.30; 21.65; 10224.60; 12.68; 1226.07;400;0;22;3;4;14;48;3;0;0;0;0;473;497; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.08; ERRORS : 
216987; 0.60; 1.30; 21.65; 10224.60; 12.68; 1227.19;403;0;22;3;4;14;48;6;0;0;0;0;471;468; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
218987; 0.70; 1.40; 21.66; 10224.40; 12.67; 1226.07;403;0;22;3;4;14;48;7;0;0;0;0;459;401; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
220987; 0.60; 1.40; 21.66; 10224.40; 12.66; 1224.95;403;0;22;3;4;14;48;10;0;0;0;0;460;477; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
222987; 0.70; 1.50; 21.66; 10224.40; 12.66; 1232.81;403;0;22;3;4;14;48;11;0;0;0;0;460;448; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
224987; 0.70; 1.50; 21.67; 10224.60; 12.65; 1222.73;403;0;22;3;4;14;48;14;0;0;0;0;463;481; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
226987; 0.70; 1.50; 21.67; 10224.40; 12.65; 1229.43;403;0;22;3;4;14;48;15;0;0;0;0;460;403; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
228987; 0.70; 1.60; 21.67; 10224.20; 12.65; 1219.40;403;0;22;3;4;14;48;18;0;0;0;0;458;458; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
230987; 0.70; 1.60; 21.67; 10224.20; 12.64; 1233.94;403;0;22;3;4;14;48;19;0;0;0;0;463;435; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
232987; 0.70; 1.90; 21.68; 10224.00; 12.63; 1224.95;403;0;22;3;4;14;48;22;0;0;0;0;469;549; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -308.43; ERRORS : 
234987; 0.70; 1.80; 21.68; 10224.00; 12.63; 1222.73;403;0;22;3;4;14;48;23;0;0;0;0;464;406; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
236987; 0.70; 1.80; 21.68; 10224.00; 12.63; 1231.68;403;0;22;3;4;14;48;26;0;0;0;0;459;435; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.05; ERRORS : 
238987; 0.60; 1.70; 21.69; 10224.20; 12.62; 1235.08;403;0;22;3;4;14;48;27;0;0;0;0;450;422; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -315.69; ERRORS : 
240987; 0.60; 1.70; 21.69; 10224.20; 12.62; 1227.19;403;0;22;3;4;14;48;30;0;0;0;0;456;511; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
242987; 0.70; 1.80; 21.69; 10224.40; 12.62; 1229.43;403;0;22;3;4;14;48;31;0;0;0;0;461;485; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -311.66; ERRORS : 
244987; 0.60; 1.60; 21.70; 10224.20; 12.62; 1233.94;403;0;22;3;4;14;48;34;0;0;0;0;461;448; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -306.82; ERRORS : 
246987; 0.60; 1.70; 21.70; 10224.20; 12.62; 1226.07;403;0;22;3;4;14;48;35;0;0;0;0;458;429; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -309.24; ERRORS : 
248987; 0.60; 1.60; 21.70; 10224.20; 12.60; 1229.43;403;0;22;3;4;14;48;38;0;0;0;0;452;448; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -312.46; ERRORS : 
250987; 0.60; 1.70; 21.71; 10224.40; 12.60; 1230.56;403;0;22;3;4;14;48;39;0;0;0;0;452;489; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -308.43; ERRORS : 
252987; 0.60; 1.50; 21.71; 10224.20; 12.60; 1223.84;403;0;22;3;4;14;48;42;0;0;0;0;458;482; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
254987; 0.60; 1.50; 21.71; 10224.00; 12.59; 1230.56;403;0;22;3;4;14;48;43;0;0;0;0;458;433; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -310.85; ERRORS : 
256987; 0.60; 1.30; 21.71; 10224.00; 12.58; 1229.43;403;0;22;3;4;14;48;46;0;0;0;0;455;433; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -313.27; ERRORS : 
258987; 0.60; 1.20; 21.72; 10223.80; 12.58; 1224.95;403;0;22;3;4;14;48;47;0;0;0;0;463;477; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -314.08; ERRORS : 
